channel_name,channel_id
"花芽すみれ / Kaga Sumire",UCyLGcqYs7RsBb3L0SJfzGYA
"花芽なずな / Nazuna Kaga",UCiMG6VdScBabPhJ1ZtaVmbw
"小雀とと / Toto Kogara",UCgTzsBI0DIRopMylJEDqnog
"一ノ瀬うるは",UC5LyYg6cCA4yHEYvtUsir3g
"胡桃のあ",UCIcAj6WkJ8vZ7DeJVgmeqKw
"兎咲ミミ / Tosaki Mimi",UCnvVG9RbOW3J6Ifqo-zKLiw
"空澄セナ -Asumi Sena-",UCF_U2GCKHvDz52jWdizppIA
"橘ひなの / Hinano Tachibana",UCvUc0m317LWTTPZoBQV479A
"英リサ.Hanabusa Lisa",UCurEA8YoqFwimJcAuSHU0MQ
"如月れん -Ren kisaragi-",UCGWa1dMU_sDCaRQjdabsVgg
"神成きゅぴ / Kaminari Qpi",UCMp55EbT_ZlqiMS3lCj01BQ
"八雲べに",UCjXBuHmWkieBApgBhDuJMMQ
"藍沢エマ / Aizawa Ema",UCPkKpOHxEDcwmUAnRpIu-Ng
"紫宮るな /shinomiya runa",UCD5W21JqNMv_tV9nfjvF9sw
"猫汰つな / Nekota Tsuna",UCIjdfjcSaEgdjwbgjxC3ZWg
"白波らむね / Shiranami Ramune",UC61OwuYOVuKkpKnid-43Twg
"Met Channel / 小森めと",UCzUNASdzI4PV5SlqtYwAkKQ
"Akari ch.夢野あかり",UCS5l_Y0oMVTjEos2LuyeSZQ
"夜乃くろむ / Yano Kuromu",UCX4WL24YEOUYd7qDsFSLDOw
"紡木こかげ",UC-WX1CXssCtCtc2TNIRnJzg
"千燈ゆうひ",UCuDY3ibSP2MFRgf7eo3cojg
"蝶屋はなび / Choya Hanabi",UCL9hJsdk9eQa0IlWbFB2oRg
"甘結もか / Amayui Moka",UC8vKBjGY2HVfbW9GAmgikWw
