2025-07-26 07:45:00,143 - ERROR - エラー: https://www.youtube.com/watch?v=x5HvawdXBAY - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=x5HvawdXBAY']' returned non-zero exit status 1.
2025-07-26 14:07:44,997 - ERROR - DB接続エラー: no such table: comments
2025-07-27 21:05:23,642 - ERROR - エラー: https://www.youtube.com/watch?v=0aVuPjMqwsc - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=0aVuPjMqwsc']' returned non-zero exit status 1.
2025-07-31 01:28:39,747 - ERROR - エラー: https://www.youtube.com/watch?v=rzO82mSD67I - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=rzO82mSD67I']' returned non-zero exit status 1.
2025-08-01 21:05:50,978 - ERROR - エラー: https://www.youtube.com/watch?v=YLUgK-QV4io - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=YLUgK-QV4io']' returned non-zero exit status 1.
2025-08-01 23:39:10,274 - ERROR - エラー: https://www.youtube.com/watch?v=BxGFF3hcccM - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=BxGFF3hcccM']' returned non-zero exit status 1.
2025-08-08 16:52:20,057 - ERROR - エラー: https://www.youtube.com/watch?v=xd5lYWLN5fU - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=xd5lYWLN5fU']' returned non-zero exit status 1.
2025-08-08 23:56:53,763 - ERROR - エラー: https://www.youtube.com/watch?v=sKJ5moF3X8Y - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=sKJ5moF3X8Y']' returned non-zero exit status 1.
2025-08-09 01:46:08,675 - ERROR - エラー: https://www.youtube.com/watch?v=lSvLABLEhO0 - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=lSvLABLEhO0']' returned non-zero exit status 1.
2025-08-09 04:16:29,861 - ERROR - エラー: https://www.youtube.com/watch?v=bx1-cTN0Zas - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=bx1-cTN0Zas']' returned non-zero exit status 1.
2025-08-09 10:47:18,223 - ERROR - エラー: https://www.youtube.com/watch?v=RasCgfRnTOc - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=RasCgfRnTOc']' returned non-zero exit status 1.
2025-08-09 18:10:59,955 - ERROR - エラー: https://www.youtube.com/watch?v=JkuHbeoqu64 - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=JkuHbeoqu64']' returned non-zero exit status 1.
2025-08-09 19:15:38,112 - ERROR - エラー: https://www.youtube.com/watch?v=CIRvsQ7XMoM - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=CIRvsQ7XMoM']' returned non-zero exit status 1.
2025-08-09 20:27:59,892 - ERROR - エラー: https://www.youtube.com/watch?v=uZduRVQgZgo - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=uZduRVQgZgo']' returned non-zero exit status 1.
2025-08-09 21:00:01,425 - ERROR - エラー: https://www.youtube.com/watch?v=pT6aeI5S1Kk - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=pT6aeI5S1Kk']' returned non-zero exit status 1.
2025-08-09 21:11:54,263 - ERROR - エラー: https://www.youtube.com/watch?v=BxGFF3hcccM - Command '['dl', '--skip-download', '--write-subs', '--sub-lang', 'live_chat', '-o', 'data/live_chat/%(title)s [%(id)s].%(ext)s', '--cookies', 'cookies.txt', 'https://www.youtube.com/watch?v=BxGFF3hcccM']' returned non-zero exit status 1.
